Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
50,10,6,179,0,Some Random Commen with Id 50
51,12,1,33,6,Some Random Commen with Id 51
52,12,1,4,3,Some Random Commen with Id 52
53,12,1,108,1,Some Random Commen with Id 53
54,12,1,17,3,Some Random Commen with Id 54
55,12,1,114,6,Some Random Commen with Id 55
56,12,1,11,0,Some Random Commen with Id 56
57,12,1,192,5,Some Random Commen with Id 57
58,12,1,134,3,Some Random Commen with Id 58
59,12,1,140,2,Some Random Commen with Id 59
60,14,9,25,8,Some Random Commen with Id 60
61,14,9,132,6,Some Random Commen with Id 61
62,14,9,49,5,Some Random Commen with Id 62
63,14,9,93,5,Some Random Commen with Id 63
64,14,9,167,9,Some Random Commen with Id 64
65,15,8,196,2,Some Random Commen with Id 65
66,15,8,95,0,Some Random Commen with Id 66
67,15,8,25,0,Some Random Commen with Id 67
68,15,8,117,6,Some Random Commen with Id 68
69,15,8,6,9,Some Random Commen with Id 69
70,15,8,165,3,Some Random Commen with Id 70
71,15,8,40,9,Some Random Commen with Id 71
72,15,8,93,0,Some Random Commen with Id 72
73,15,8,88,0,Some Random Commen with Id 73
74,16,6,56,2,Some Random Commen with Id 74
75,16,6,113,5,Some Random Commen with Id 75
76,16,6,17,6,Some Random Commen with Id 76
77,16,6,116,9,Some Random Commen with Id 77
78,16,6,145,9,Some Random Commen with Id 78
79,16,6,172,2,Some Random Commen with Id 79
80,17,6,127,5,Some Random Commen with Id 80
81,17,6,41,8,Some Random Commen with Id 81
82,17,6,93,9,Some Random Commen with Id 82
83,17,6,29,6,Some Random Commen with Id 83
84,17,6,143,3,Some Random Commen with Id 84
85,17,6,138,7,Some Random Commen with Id 85
86,18,5,51,2,Some Random Commen with Id 86
87,18,5,184,4,Some Random Commen with Id 87
88,18,5,74,9,Some Random Commen with Id 88
89,18,5,150,7,Some Random Commen with Id 89
90,18,5,153,2,Some Random Commen with Id 90
91,18,5,19,7,Some Random Commen with Id 91
92,18,5,69,0,Some Random Commen with Id 92
93,20,1,167,9,Some Random Commen with Id 93
94,21,9,23,7,Some Random Commen with Id 94
95,21,9,13,5,Some Random Commen with Id 95
96,21,9,132,7,Some Random Commen with Id 96
97,21,9,10,3,Some Random Commen with Id 97
98,21,9,7,4,Some Random Commen with Id 98
99,21,9,72,8,Some Random Commen with Id 99
100,21,9,91,8,Some Random Commen with Id 100
101,22,2,174,6,Some Random Commen with Id 101
102,23,2,7,2,Some Random Commen with Id 102
103,23,2,121,1,Some Random Commen with Id 103
104,23,2,41,5,Some Random Commen with Id 104
105,23,2,19,9,Some Random Commen with Id 105
106,23,2,141,7,Some Random Commen with Id 106
107,24,5,127,2,Some Random Commen with Id 107
108,24,5,18,3,Some Random Commen with Id 108
109,24,5,63,0,Some Random Commen with Id 109
110,26,8,179,5,Some Random Commen with Id 110
111,26,8,77,4,Some Random Commen with Id 111
112,26,8,36,5,Some Random Commen with Id 112
113,26,8,30,4,Some Random Commen with Id 113
114,27,1,58,7,Some Random Commen with Id 114
115,27,1,177,0,Some Random Commen with Id 115
116,27,1,119,1,Some Random Commen with Id 116
117,27,1,114,0,Some Random Commen with Id 117
118,27,1,44,5,Some Random Commen with Id 118
119,27,1,10,1,Some Random Commen with Id 119
120,27,1,0,0,Some Random Commen with Id 120
121,27,1,95,4,Some Random Commen with Id 121
122,27,1,60,9,Some Random Commen with Id 122
123,28,8,115,7,Some Random Commen with Id 123
124,28,8,111,3,Some Random Commen with Id 124
125,28,8,130,4,Some Random Commen with Id 125
126,28,8,44,8,Some Random Commen with Id 126
127,28,8,25,3,Some Random Commen with Id 127
128,29,5,169,1,Some Random Commen with Id 128
129,29,5,143,0,Some Random Commen with Id 129
130,29,5,168,5,Some Random Commen with Id 130
131,29,5,172,8,Some Random Commen with Id 131
132,29,5,168,8,Some Random Commen with Id 132
133,29,5,163,5,Some Random Commen with Id 133
134,29,5,15,9,Some Random Commen with Id 134
135,29,5,170,0,Some Random Commen with Id 135
136,30,5,2,0,Some Random Commen with Id 136
137,30,5,60,2,Some Random Commen with Id 137
138,30,5,82,0,Some Random Commen with Id 138
139,31,4,87,8,Some Random Commen with Id 139
140,31,4,100,3,Some Random Commen with Id 140
141,31,4,1,0,Some Random Commen with Id 141
142,31,4,49,2,Some Random Commen with Id 142
143,31,4,169,2,Some Random Commen with Id 143
144,31,4,43,2,Some Random Commen with Id 144
145,31,4,79,1,Some Random Commen with Id 145
146,31,4,21,5,Some Random Commen with Id 146
147,32,7,31,3,Some Random Commen with Id 147
148,32,7,133,6,Some Random Commen with Id 148
149,32,7,36,3,Some Random Commen with Id 149
150,32,7,103,8,Some Random Commen with Id 150
151,32,7,17,5,Some Random Commen with Id 151
152,32,7,110,3,Some Random Commen with Id 152
153,32,7,101,1,Some Random Commen with Id 153
154,32,7,64,8,Some Random Commen with Id 154
155,32,7,27,8,Some Random Commen with Id 155
156,33,6,4,1,Some Random Commen with Id 156
157,33,6,155,1,Some Random Commen with Id 157
158,33,6,146,4,Some Random Commen with Id 158
159,33,6,101,2,Some Random Commen with Id 159
160,34,0,190,3,Some Random Commen with Id 160
161,34,0,125,0,Some Random Commen with Id 161
162,34,0,13,2,Some Random Commen with Id 162
163,34,0,191,7,Some Random Commen with Id 163
164,34,0,53,8,Some Random Commen with Id 164
165,35,3,183,8,Some Random Commen with Id 165
166,35,3,99,5,Some Random Commen with Id 166
167,35,3,83,9,Some Random Commen with Id 167
168,35,3,177,5,Some Random Commen with Id 168
169,35,3,130,8,Some Random Commen with Id 169
170,35,3,96,5,Some Random Commen with Id 170
171,35,3,31,0,Some Random Commen with Id 171
172,35,3,113,0,Some Random Commen with Id 172
173,35,3,140,0,Some Random Commen with Id 173
174,36,7,48,6,Some Random Commen with Id 174
175,36,7,108,7,Some Random Commen with Id 175
176,36,7,54,6,Some Random Commen with Id 176
177,37,8,9,7,Some Random Commen with Id 177
178,37,8,33,9,Some Random Commen with Id 178
179,37,8,147,5,Some Random Commen with Id 179
180,37,8,180,5,Some Random Commen with Id 180
181,37,8,117,2,Some Random Commen with Id 181
182,37,8,106,8,Some Random Commen with Id 182
183,37,8,1,8,Some Random Commen with Id 183
184,37,8,135,6,Some Random Commen with Id 184
185,38,1,5,7,Some Random Commen with Id 185
186,39,2,43,4,Some Random Commen with Id 186
187,39,2,58,3,Some Random Commen with Id 187
188,39,2,89,6,Some Random Commen with Id 188
189,39,2,187,1,Some Random Commen with Id 189
190,39,2,55,3,Some Random Commen with Id 190
191,39,2,46,1,Some Random Commen with Id 191
192,39,2,12,6,Some Random Commen with Id 192
